variable,scenario,year,range_low,range_high,unit,institutional_comparison,influence,basis
unemployment_rate,OPTIMISTIC,2030,7.6,8.5,%,CONSISTENT_WITH_INSTITUTIONAL_NEAR_TERM,STRONG,"V8.03 architecture, historical speed constraints, institutional near-term benchmarks, clustered event timing and qualitative scarring"
unemployment_rate,OPTIMISTIC,2040,7.9,9.4,%,MORE_PESSIMISTIC_THAN_INSTITUTIONS,WEAK,"V8.03 architecture, historical speed constraints, institutional near-term benchmarks, clustered event timing and qualitative scarring"
unemployment_rate,OPTIMISTIC,2050,8.1,10.0,%,MORE_PESSIMISTIC_THAN_INSTITUTIONS,WEAK,"V8.03 architecture, historical speed constraints, institutional near-term benchmarks, clustered event timing and qualitative scarring"
unemployment_rate,CENTRAL,2030,8.0,9.4,%,CONSISTENT_WITH_INSTITUTIONAL_NEAR_TERM,STRONG,"V8.03 architecture, historical speed constraints, institutional near-term benchmarks, clustered event timing and qualitative scarring"
unemployment_rate,CENTRAL,2040,8.8,11.0,%,MORE_PESSIMISTIC_THAN_INSTITUTIONS,WEAK,"V8.03 architecture, historical speed constraints, institutional near-term benchmarks, clustered event timing and qualitative scarring"
unemployment_rate,CENTRAL,2050,10.0,12.5,%,MORE_PESSIMISTIC_THAN_INSTITUTIONS,WEAK,"V8.03 architecture, historical speed constraints, institutional near-term benchmarks, clustered event timing and qualitative scarring"
unemployment_rate,PESSIMISTIC,2030,9.0,11.5,%,CONSISTENT_WITH_INSTITUTIONAL_NEAR_TERM,STRONG,"V8.03 architecture, historical speed constraints, institutional near-term benchmarks, clustered event timing and qualitative scarring"
unemployment_rate,PESSIMISTIC,2040,11.0,14.0,%,MORE_PESSIMISTIC_THAN_INSTITUTIONS,WEAK,"V8.03 architecture, historical speed constraints, institutional near-term benchmarks, clustered event timing and qualitative scarring"
unemployment_rate,PESSIMISTIC,2050,13.0,17.5,%,MORE_PESSIMISTIC_THAN_INSTITUTIONS,WEAK,"V8.03 architecture, historical speed constraints, institutional near-term benchmarks, clustered event timing and qualitative scarring"
real_gdp_per_capita,OPTIMISTIC,2030,38500.0,40500.0,"EUR/person, 2020 chain-linked prices",CONSISTENT_WITH_INSTITUTIONAL_NEAR_TERM,MODERATE,"V8.03 architecture, historical speed constraints, institutional near-term benchmarks, clustered event timing and qualitative scarring"
real_gdp_per_capita,OPTIMISTIC,2040,39000.0,43000.0,"EUR/person, 2020 chain-linked prices",MORE_PESSIMISTIC_THAN_INSTITUTIONS,WEAK,"V8.03 architecture, historical speed constraints, institutional near-term benchmarks, clustered event timing and qualitative scarring"
real_gdp_per_capita,OPTIMISTIC,2050,32000.0,38000.0,"EUR/person, 2020 chain-linked prices",MORE_PESSIMISTIC_THAN_INSTITUTIONS,WEAK,"V8.03 architecture, historical speed constraints, institutional near-term benchmarks, clustered event timing and qualitative scarring"
real_gdp_per_capita,CENTRAL,2030,37500.0,39500.0,"EUR/person, 2020 chain-linked prices",CONSISTENT_WITH_INSTITUTIONAL_NEAR_TERM,MODERATE,"V8.03 architecture, historical speed constraints, institutional near-term benchmarks, clustered event timing and qualitative scarring"
