variable,scenario,from_year,to_year,from_value,to_value,absolute_change,percent_change,annualized_real_change,interpretation
real_gdp_per_capita,CENTRAL,2025,2030,38360.0,38500.0,140.0,0.36496350364962904,0.07288637478843896,Real level change.
real_gdp_per_capita,CENTRAL,2030,2040,38500.0,36500.0,-2000.0,-5.1948051948051965,-0.5320394370476489,Real level change.
real_gdp_per_capita,CENTRAL,2040,2050,36500.0,34000.0,-2500.0,-6.849315068493156,-0.7070062277862887,Real level change.
real_gdp_per_capita,OPTIMISTIC,2025,2030,38360.0,39700.0,1340.0,3.4932221063607827,0.6890820734803738,Real level change.
real_gdp_per_capita,OPTIMISTIC,2030,2040,39700.0,39000.0,-700.0,-1.7632241813602012,-0.17773727552903296,Real level change.
real_gdp_per_capita,OPTIMISTIC,2040,2050,39000.0,36500.0,-2500.0,-6.41025641025641,-0.6603042029756923,Real level change.
real_gdp_per_capita,PESSIMISTIC,2025,2030,38360.0,37000.0,-1360.0,-3.5453597497393075,-0.7193469719832479,Real level change.
real_gdp_per_capita,PESSIMISTIC,2030,2040,37000.0,34000.0,-3000.0,-8.108108108108103,-0.8420089594350255,Real level change.
real_gdp_per_capita,PESSIMISTIC,2040,2050,34000.0,30000.0,-4000.0,-11.764705882352944,-1.2438311010662617,Real level change.
real_median_living_standard,CENTRAL,2025,2030,25952.514017,25800.0,-152.51401700000133,-0.5876656762427657,-0.11781039419584971,Real level change.
real_median_living_standard,CENTRAL,2030,2040,25800.0,25000.0,-800.0,-3.100775193798455,-0.3144911080356638,Real level change.
real_median_living_standard,CENTRAL,2040,2050,25000.0,23300.0,-1700.0,-6.799999999999995,-0.701750791789546,Real level change.
real_median_living_standard,OPTIMISTIC,2025,2030,25952.514017,26500.0,547.4859829999987,2.109568200758405,0.41839782599331077,Real level change.
real_median_living_standard,OPTIMISTIC,2030,2040,26500.0,25800.0,-700.0,-2.6415094339622636,-0.26734440727519404,Real level change.
real_median_living_standard,OPTIMISTIC,2040,2050,25800.0,24700.0,-1100.0,-4.263565891472865,-0.43476463323033343,Real level change.
real_median_living_standard,PESSIMISTIC,2025,2030,25952.514017,25000.0,-952.5140170000013,-3.670218678529813,-0.7450637224683421,Real level change.
real_median_living_standard,PESSIMISTIC,2030,2040,25000.0,23100.0,-1900.0,-7.599999999999996,-0.7873163736590305,Real level change.
real_median_living_standard,PESSIMISTIC,2040,2050,23100.0,20800.0,-2300.0,-9.956709956709952,-1.0433156168880742,Real level change.
unemployment_rate,CENTRAL,2025,2030,7.725,9.1,1.375,17.79935275080906,,Unemployment change in percentage points; level changes are percentage changes.
unemployment_rate,CENTRAL,2030,2040,9.1,12.0,2.9000000000000004,31.868131868131865,,Unemployment change in percentage points; level changes are percentage changes.
unemployment_rate,CENTRAL,2040,2050,12.0,14.0,2.0,16.666666666666675,,Unemployment change in percentage points; level changes are percentage changes.
unemployment_rate,OPTIMISTIC,2025,2030,7.725,8.5,0.7750000000000004,10.032362459546928,,Unemployment change in percentage points; level changes are percentage changes.
unemployment_rate,OPTIMISTIC,2030,2040,8.5,10.0,1.5,17.647058823529417,,Unemployment change in percentage points; level changes are percentage changes.
unemployment_rate,OPTIMISTIC,2040,2050,10.0,12.0,2.0,19.999999999999996,,Unemployment change in percentage points; level changes are percentage changes.
unemployment_rate,PESSIMISTIC,2025,2030,7.725,11.3,3.575000000000001,46.278317152103575,,Unemployment change in percentage points; level changes are percentage changes.
unemployment_rate,PESSIMISTIC,2030,2040,11.3,14.7,3.3999999999999986,30.08849557522122,,Unemployment change in percentage points; level changes are percentage changes.
unemployment_rate,PESSIMISTIC,2040,2050,14.7,17.8,3.1000000000000014,21.08843537414966,,Unemployment change in percentage points; level changes are percentage changes.
