source,scenario,year,variable,value,classification
INSTITUTIONAL_REFERENCE,INSTITUTIONAL_REFERENCE,2030,unemployment_rate,7.1,LONG_RUN_PROJECTION
INSTITUTIONAL_REFERENCE,INSTITUTIONAL_REFERENCE,2040,unemployment_rate,6.7,LONG_RUN_PROJECTION
INSTITUTIONAL_REFERENCE,INSTITUTIONAL_REFERENCE,2050,unemployment_rate,6.3,LONG_RUN_PROJECTION
FRANCESCOPE,CENTRAL,2030,unemployment_rate,9.1,CONDITIONAL_SCENARIO
FRANCESCOPE,CENTRAL,2030,real_gdp_per_capita,38500.0,CONDITIONAL_SCENARIO
FRANCESCOPE,CENTRAL,2030,real_median_living_standard,25800.0,CONDITIONAL_SCENARIO
FRANCESCOPE,CENTRAL,2040,unemployment_rate,12.0,CONDITIONAL_SCENARIO
FRANCESCOPE,CENTRAL,2040,real_gdp_per_capita,36500.0,CONDITIONAL_SCENARIO
FRANCESCOPE,CENTRAL,2040,real_median_living_standard,25000.0,CONDITIONAL_SCENARIO
FRANCESCOPE,CENTRAL,2050,unemployment_rate,14.0,CONDITIONAL_SCENARIO
FRANCESCOPE,CENTRAL,2050,real_gdp_per_capita,34000.0,CONDITIONAL_SCENARIO
FRANCESCOPE,CENTRAL,2050,real_median_living_standard,23300.0,CONDITIONAL_SCENARIO
FRANCESCOPE,OPTIMISTIC,2030,unemployment_rate,8.5,CONDITIONAL_SCENARIO
FRANCESCOPE,OPTIMISTIC,2030,real_gdp_per_capita,39700.0,CONDITIONAL_SCENARIO
FRANCESCOPE,OPTIMISTIC,2030,real_median_living_standard,26500.0,CONDITIONAL_SCENARIO
FRANCESCOPE,OPTIMISTIC,2040,unemployment_rate,10.0,CONDITIONAL_SCENARIO
FRANCESCOPE,OPTIMISTIC,2040,real_gdp_per_capita,39000.0,CONDITIONAL_SCENARIO
FRANCESCOPE,OPTIMISTIC,2040,real_median_living_standard,25800.0,CONDITIONAL_SCENARIO
FRANCESCOPE,OPTIMISTIC,2050,unemployment_rate,12.0,CONDITIONAL_SCENARIO
FRANCESCOPE,OPTIMISTIC,2050,real_gdp_per_capita,36500.0,CONDITIONAL_SCENARIO
FRANCESCOPE,OPTIMISTIC,2050,real_median_living_standard,24700.0,CONDITIONAL_SCENARIO
FRANCESCOPE,PESSIMISTIC,2030,unemployment_rate,11.3,CONDITIONAL_SCENARIO
FRANCESCOPE,PESSIMISTIC,2030,real_gdp_per_capita,37000.0,CONDITIONAL_SCENARIO
FRANCESCOPE,PESSIMISTIC,2030,real_median_living_standard,25000.0,CONDITIONAL_SCENARIO
FRANCESCOPE,PESSIMISTIC,2040,unemployment_rate,14.7,CONDITIONAL_SCENARIO
FRANCESCOPE,PESSIMISTIC,2040,real_gdp_per_capita,34000.0,CONDITIONAL_SCENARIO
FRANCESCOPE,PESSIMISTIC,2040,real_median_living_standard,23100.0,CONDITIONAL_SCENARIO
FRANCESCOPE,PESSIMISTIC,2050,unemployment_rate,17.8,CONDITIONAL_SCENARIO
FRANCESCOPE,PESSIMISTIC,2050,real_gdp_per_capita,30000.0,CONDITIONAL_SCENARIO
FRANCESCOPE,PESSIMISTIC,2050,real_median_living_standard,20800.0,CONDITIONAL_SCENARIO
