risk,definition,horizon,probability_type,probability_low,central_estimate,probability_high,estimate_basis,tier,evidence_grade,confidence,main_sources
material sovereign stress,"France spread blowout, rating shock or ECB/EU support without default",2y,cumulative at least one qualifying event,0.03,0.02,0.01,D expert synthesis anchored to official evidence; not an official probability,Tier 1,D,medium,V8_risk_sources.csv
material sovereign stress,"France spread blowout, rating shock or ECB/EU support without default",5y,cumulative at least one qualifying event,0.08,0.06,0.04,D expert synthesis anchored to official evidence; not an official probability,Tier 1,D,medium,V8_risk_sources.csv
material sovereign stress,"France spread blowout, rating shock or ECB/EU support without default",10y,cumulative at least one qualifying event,0.15,0.125,0.1,D expert synthesis anchored to official evidence; not an official probability,Tier 1,D,medium,V8_risk_sources.csv
material sovereign stress,"France spread blowout, rating shock or ECB/EU support without default",25y,cumulative at least one qualifying event,0.35,0.3,0.25,D expert synthesis anchored to official evidence; not an official probability,Tier 1,D,medium,V8_risk_sources.csv
severe funding/refinancing crisis,"Inability to refinance normally, requiring exceptional official or market stabilization",2y,cumulative at least one qualifying event,0.01,0.007,0.005,D expert synthesis anchored to official evidence; not an official probability,Tier 2,D,low,V8_risk_sources.csv
severe funding/refinancing crisis,"Inability to refinance normally, requiring exceptional official or market stabilization",5y,cumulative at least one qualifying event,0.03,0.025,0.02,D expert synthesis anchored to official evidence; not an official probability,Tier 2,D,low,V8_risk_sources.csv
severe funding/refinancing crisis,"Inability to refinance normally, requiring exceptional official or market stabilization",10y,cumulative at least one qualifying event,0.07,0.06,0.05,D expert synthesis anchored to official evidence; not an official probability,Tier 2,D,low,V8_risk_sources.csv
severe funding/refinancing crisis,"Inability to refinance normally, requiring exceptional official or market stabilization",25y,cumulative at least one qualifying event,0.18,0.15,0.12,D expert synthesis anchored to official evidence; not an official probability,Tier 2,D,low,V8_risk_sources.csv
formal default/restructuring,Missed payment or coercive restructuring of French sovereign obligations,2y,cumulative at least one qualifying event,0.001,0.001,0.0005,D expert synthesis anchored to official evidence; not an official probability,Tier 3,D,low,V8_risk_sources.csv
formal default/restructuring,Missed payment or coercive restructuring of French sovereign obligations,5y,cumulative at least one qualifying event,0.003,0.003,0.002,D expert synthesis anchored to official evidence; not an official probability,Tier 3,D,low,V8_risk_sources.csv
formal default/restructuring,Missed payment or coercive restructuring of French sovereign obligations,10y,cumulative at least one qualifying event,0.01,0.009,0.008,D expert synthesis anchored to official evidence; not an official probability,Tier 3,D,low,V8_risk_sources.csv
formal default/restructuring,Missed payment or coercive restructuring of French sovereign obligations,25y,cumulative at least one qualifying event,0.04,0.035,0.03,D expert synthesis anchored to official evidence; not an official probability,Tier 3,D,low,V8_risk_sources.csv
