variable,year,institution,value,unit,definition,classification,publication,publication_date,source,source_table_or_section,source_page_if_available,institution_stated_reason_1,institution_stated_reason_2,institution_stated_reason_3,key_assumption_1,key_assumption_2,key_assumption_3,source_quote_or_paraphrase,our_interpretation,confidence,notes
unemployment_rate,2026,Banque de France,8.1,%,BIT/ILO; France excluding Mayotte,DIRECT_FORECAST,"Macroeconomic projections for France, June 2026",2026-06,https://www.banque-france.fr/system/files/2026-06/Macroeconomic_projections_June_2026.pdf,France forecast: labour market,Not identified in retained source artifact,Employment and salaried employment are expected to stagnate in the weak early-2026 environment.,A recovery in job creation is expected from around mid-2027.,The projection is framed against sluggish activity and international uncertainty.,The published macroeconomic scenario holds.,France Travail registration and labor-market flows evolve as modeled.,"The unemployment definition is BIT/ILO, France excluding Mayotte.",Employment and salaried employment are expected to stagnate in the weak early-2026 environment. | A recovery in job creation is expected from around mid-2027. | The projection is framed against sluggish activity and international uncertainty.,FranceScope treats this as an institutional benchmark only; it is not extrapolated into a FranceScope target.,HIGH,Source quote not reproduced; rationale fields distinguish explicit source material from non-available explanation. Forecast vintage: 2026-06.
unemployment_rate,2027,Banque de France,8.1,%,BIT/ILO; France excluding Mayotte,DIRECT_FORECAST,"Macroeconomic projections for France, June 2026",2026-06,https://www.banque-france.fr/system/files/2026-06/Macroeconomic_projections_June_2026.pdf,France forecast: labour market,Not identified in retained source artifact,Employment and salaried employment are expected to stagnate in the weak early-2026 environment.,A recovery in job creation is expected from around mid-2027.,The projection is framed against sluggish activity and international uncertainty.,The published macroeconomic scenario holds.,France Travail registration and labor-market flows evolve as modeled.,"The unemployment definition is BIT/ILO, France excluding Mayotte.",Employment and salaried employment are expected to stagnate in the weak early-2026 environment. | A recovery in job creation is expected from around mid-2027. | The projection is framed against sluggish activity and international uncertainty.,FranceScope treats this as an institutional benchmark only; it is not extrapolated into a FranceScope target.,HIGH,Source quote not reproduced; rationale fields distinguish explicit source material from non-available explanation. Forecast vintage: 2026-06.
unemployment_rate,2028,Banque de France,7.8,%,BIT/ILO; France excluding Mayotte,DIRECT_FORECAST,"Macroeconomic projections for France, June 2026",2026-06,https://www.banque-france.fr/system/files/2026-06/Macroeconomic_projections_June_2026.pdf,France forecast: labour market,Not identified in retained source artifact,Employment and salaried employment are expected to stagnate in the weak early-2026 environment.,A recovery in job creation is expected from around mid-2027.,The projection is framed against sluggish activity and international uncertainty.,The published macroeconomic scenario holds.,France Travail registration and labor-market flows evolve as modeled.,"The unemployment definition is BIT/ILO, France excluding Mayotte.",Employment and salaried employment are expected to stagnate in the weak early-2026 environment. | A recovery in job creation is expected from around mid-2027. | The projection is framed against sluggish activity and international uncertainty.,FranceScope treats this as an institutional benchmark only; it is not extrapolated into a FranceScope target.,HIGH,Source quote not reproduced; rationale fields distinguish explicit source material from non-available explanation. Forecast vintage: 2026-06.
unemployment_rate,2026,European Commission,8.3,%,France; definition as published,DIRECT_FORECAST,Autumn 2025 Economic Forecast,2025-11,https://economy-finance.ec.europa.eu/economic-surveillance-eu-member-states/country-pages-including-country-reports/france/economic-forecast-france_en,France forecast: labour market,Not identified in retained source artifact,Payroll employment contracts while the labor force continues to grow.,"Higher participation, including younger and older workers, raises labor supply.",A modest productivity rebound accompanies weak employment growth.,The Commission baseline fiscal and macro scenario holds.,Participation and pension-reform effects follow the published forecast.,Definition is the Commission's published France series.,"Payroll employment contracts while the labor force continues to grow. | Higher participation, including younger and older workers, raises labor supply. | A modest productivity rebound accompanies weak employment growth.",FranceScope treats this as an institutional benchmark only; it is not extrapolated into a FranceScope target.,HIGH,Source quote not reproduced; rationale fields distinguish explicit source material from non-available explanation. Forecast vintage: 2025-11.
unemployment_rate,2027,European Commission,8.7,%,France; definition as published,DIRECT_FORECAST,Autumn 2025 Economic Forecast,2025-11,https://economy-finance.ec.europa.eu/economic-surveillance-eu-member-states/country-pages-including-country-reports/france/economic-forecast-france_en,France forecast: labour market,Not identified in retained source artifact,Payroll employment contracts while the labor force continues to grow.,"Higher participation, including younger and older workers, raises labor supply.",A modest productivity rebound accompanies weak employment growth.,The Commission baseline fiscal and macro scenario holds.,Participation and pension-reform effects follow the published forecast.,Definition is the Commission's published France series.,"Payroll employment contracts while the labor force continues to grow. | Higher participation, including younger and older workers, raises labor supply. | A modest productivity rebound accompanies weak employment growth.",FranceScope treats this as an institutional benchmark only; it is not extrapolated into a FranceScope target.,HIGH,Source quote not reproduced; rationale fields distinguish explicit source material from non-available explanation. Forecast vintage: 2025-11.
real_gdp_growth,2026,Banque de France,0.5,% annual,Aggregate GDP growth; France,DIRECT_FORECAST,"Macroeconomic projections for France, June 2026",2026-06,https://www.banque-france.fr/system/files/2026-06/Macroeconomic_projections_June_2026.pdf,France forecast: GDP and activity,Not identified in retained source artifact,No explicit mechanism was extracted in the retained source artifact.,No explicit rationale found in the retained source artifact.,No explicit rationale found in the retained source artifact.,Published value is used without extrapolation.,Definition and vintage are as published.,No FranceScope interpretation is substituted.,No explicit mechanism was extracted in the retained source artifact. | No explicit rationale found in the retained source artifact. | No explicit rationale found in the retained source artifact.,FranceScope treats this as an institutional benchmark only; it is not extrapolated into a FranceScope target.,HIGH,Source quote not reproduced; rationale fields distinguish explicit source material from non-available explanation. Forecast vintage: 2026-06.
real_gdp_growth,2027,Banque de France,0.9,% annual,Aggregate GDP growth; France,DIRECT_FORECAST,"Macroeconomic projections for France, June 2026",2026-06,https://www.banque-france.fr/system/files/2026-06/Macroeconomic_projections_June_2026.pdf,France forecast: GDP and activity,Not identified in retained source artifact,No explicit mechanism was extracted in the retained source artifact.,No explicit rationale found in the retained source artifact.,No explicit rationale found in the retained source artifact.,Published value is used without extrapolation.,Definition and vintage are as published.,No FranceScope interpretation is substituted.,No explicit mechanism was extracted in the retained source artifact. | No explicit rationale found in the retained source artifact. | No explicit rationale found in the retained source artifact.,FranceScope treats this as an institutional benchmark only; it is not extrapolated into a FranceScope target.,HIGH,Source quote not reproduced; rationale fields distinguish explicit source material from non-available explanation. Forecast vintage: 2026-06.
real_gdp_growth,2028,Banque de France,1.2,% annual,Aggregate GDP growth; France,DIRECT_FORECAST,"Macroeconomic projections for France, June 2026",2026-06,https://www.banque-france.fr/system/files/2026-06/Macroeconomic_projections_June_2026.pdf,France forecast: GDP and activity,Not identified in retained source artifact,No explicit mechanism was extracted in the retained source artifact.,No explicit rationale found in the retained source artifact.,No explicit rationale found in the retained source artifact.,Published value is used without extrapolation.,Definition and vintage are as published.,No FranceScope interpretation is substituted.,No explicit mechanism was extracted in the retained source artifact. | No explicit rationale found in the retained source artifact. | No explicit rationale found in the retained source artifact.,FranceScope treats this as an institutional benchmark only; it is not extrapolated into a FranceScope target.,HIGH,Source quote not reproduced; rationale fields distinguish explicit source material from non-available explanation. Forecast vintage: 2026-06.
unemployment_rate_20_64,2030,European Commission,7.1,%,Age 20-64; France,LONG_RUN_PROJECTION,2024 Ageing Report: France country fiche,2024-05,https://economy-finance.ec.europa.eu/document/download/e412927a-ea31-406d-bb6c-c925914123e9_en?filename=2024-ageing-report-country-fiche-France.pdf,France forecast: GDP and activity,Not identified in retained source artifact,No explicit rationale found in the retained source artifact.,No explicit rationale found in the retained source artifact.,No explicit rationale found in the retained source artifact.,Published value is used without extrapolation.,Definition and vintage are as published.,No FranceScope interpretation is substituted.,No explicit rationale found in the retained source artifact. | No explicit rationale found in the retained source artifact. | No explicit rationale found in the retained source artifact.,FranceScope treats this as an institutional benchmark only; it is not extrapolated into a FranceScope target.,MEDIUM,Source quote not reproduced; rationale fields distinguish explicit source material from non-available explanation. Forecast vintage: 2024-05.
unemployment_rate_20_64,2040,European Commission,6.7,%,Age 20-64; France,LONG_RUN_PROJECTION,2024 Ageing Report: France country fiche,2024-05,https://economy-finance.ec.europa.eu/document/download/e412927a-ea31-406d-bb6c-c925914123e9_en?filename=2024-ageing-report-country-fiche-France.pdf,France forecast: GDP and activity,Not identified in retained source artifact,No explicit rationale found in the retained source artifact.,No explicit rationale found in the retained source artifact.,No explicit rationale found in the retained source artifact.,Published value is used without extrapolation.,Definition and vintage are as published.,No FranceScope interpretation is substituted.,No explicit rationale found in the retained source artifact. | No explicit rationale found in the retained source artifact. | No explicit rationale found in the retained source artifact.,FranceScope treats this as an institutional benchmark only; it is not extrapolated into a FranceScope target.,MEDIUM,Source quote not reproduced; rationale fields distinguish explicit source material from non-available explanation. Forecast vintage: 2024-05.
unemployment_rate_20_64,2050,European Commission,6.3,%,Age 20-64; France,LONG_RUN_PROJECTION,2024 Ageing Report: France country fiche,2024-05,https://economy-finance.ec.europa.eu/document/download/e412927a-ea31-406d-bb6c-c925914123e9_en?filename=2024-ageing-report-country-fiche-France.pdf,France forecast: GDP and activity,Not identified in retained source artifact,No explicit rationale found in the retained source artifact.,No explicit rationale found in the retained source artifact.,No explicit rationale found in the retained source artifact.,Published value is used without extrapolation.,Definition and vintage are as published.,No FranceScope interpretation is substituted.,No explicit rationale found in the retained source artifact. | No explicit rationale found in the retained source artifact. | No explicit rationale found in the retained source artifact.,FranceScope treats this as an institutional benchmark only; it is not extrapolated into a FranceScope target.,MEDIUM,Source quote not reproduced; rationale fields distinguish explicit source material from non-available explanation. Forecast vintage: 2024-05.
