forecast_id,variable,scenario,year,point_forecast,unit,approved_range_low,approved_range_high,confidence,rationale
V8_U_ACTUAL_2025,unemployment_rate,2025_ACTUAL,2025,7.725,%,7.725,7.725,HIGH,Canonical V8.01 2025 baseline.
V8_GDPPC_ACTUAL_2025,real_gdp_per_capita,2025_ACTUAL,2025,38360.0,"EUR/person, 2020 chain-linked prices",38360.0,38360.0,HIGH,Canonical V8.01 2025 baseline.
V8_MED_ACTUAL_2025,real_median_living_standard,2025_ACTUAL,2025,25952.514017,"EUR/person/year, constant prices",25952.514017,25952.514017,HIGH,Canonical V8.01 2025 baseline.
V8_U_OPT_2030,unemployment_rate,OPTIMISTIC,2030,8.5,%,8.3,9.8,MEDIUM,Revised in V8.08c after early-horizon coherence review: aligns 2030 labor deterioration with the 2026 Q2 anchor and near-term GDP-per-capita and median-living phases.
V8_U_OPT_2040,unemployment_rate,OPTIMISTIC,2040,10.0,%,9.3,11.8,LOW,"Revised in V8.08b to represent slower unemployment deterioration through 2040 before stronger post-2040 scarring, while retaining the fixed 12.0% 2050 endpoint."
V8_U_OPT_2050,unemployment_rate,OPTIMISTIC,2050,12.0,%,10.5,13.5,LOW,"Favorable side of the approved range reflects late/mild shocks, stronger offsets and low scarring."
V8_U_CEN_2030,unemployment_rate,CENTRAL,2030,9.1,%,8.8,10.7,MEDIUM,Revised in V8.08c after early-horizon coherence review: aligns 2030 labor deterioration with the 2026 Q2 anchor and near-term GDP-per-capita and median-living phases.
V8_U_CEN_2040,unemployment_rate,CENTRAL,2040,12.0,%,10.5,13.8,LOW,"Non-midpoint placement reflects partial reform, material shocks and medium persistent scarring."
V8_U_CEN_2050,unemployment_rate,CENTRAL,2050,14.0,%,12.5,16.0,LOW,"Non-midpoint placement reflects partial reform, material shocks and medium persistent scarring."
V8_U_PESS_2030,unemployment_rate,PESSIMISTIC,2030,11.3,%,10.2,12.8,MEDIUM,Adverse interior placement reflects early/compound shocks and high scarring without selecting the boundary.
V8_U_PESS_2040,unemployment_rate,PESSIMISTIC,2040,14.7,%,13.0,16.5,LOW,Adverse interior placement reflects early/compound shocks and high scarring without selecting the boundary.
V8_U_PESS_2050,unemployment_rate,PESSIMISTIC,2050,17.8,%,15.0,20.0,LOW,Adverse interior placement reflects early/compound shocks and high scarring without selecting the boundary.
V8_GDPPC_OPT_2030,real_gdp_per_capita,OPTIMISTIC,2030,39700.0,"EUR/person, 2020 chain-linked prices",38500.0,40500.0,MEDIUM,"Favorable side of the approved range reflects late/mild shocks, stronger offsets and low scarring."
V8_GDPPC_OPT_2040,real_gdp_per_capita,OPTIMISTIC,2040,39000.0,"EUR/person, 2020 chain-linked prices",39000.0,43000.0,LOW,Revised in V8.07b to distribute gradual structural deterioration more progressively before the fixed 2050 endpoint.
V8_GDPPC_OPT_2050,real_gdp_per_capita,OPTIMISTIC,2050,36500.0,"EUR/person, 2020 chain-linked prices",32000.0,38000.0,LOW,"Favorable side of the approved range reflects late/mild shocks, stronger offsets and low scarring."
V8_GDPPC_CEN_2030,real_gdp_per_capita,CENTRAL,2030,38500.0,"EUR/person, 2020 chain-linked prices",37500.0,39500.0,MEDIUM,"Non-midpoint placement reflects partial reform, material shocks and medium persistent scarring."
V8_GDPPC_CEN_2040,real_gdp_per_capita,CENTRAL,2040,36500.0,"EUR/person, 2020 chain-linked prices",36000.0,40000.0,LOW,Earlier central deterioration makes the approved crisis and scarring architecture visible before 2040.
V8_GDPPC_CEN_2050,real_gdp_per_capita,CENTRAL,2050,34000.0,"EUR/person, 2020 chain-linked prices",31500.0,36500.0,LOW,"Non-midpoint placement reflects partial reform, material shocks and medium persistent scarring."
V8_GDPPC_PESS_2030,real_gdp_per_capita,PESSIMISTIC,2030,37000.0,"EUR/person, 2020 chain-linked prices",35500.0,38000.0,MEDIUM,Adverse interior placement reflects early/compound shocks and high scarring without selecting the boundary.
V8_GDPPC_PESS_2040,real_gdp_per_capita,PESSIMISTIC,2040,34000.0,"EUR/person, 2020 chain-linked prices",31500.0,36500.0,LOW,Adverse interior placement reflects early/compound shocks and high scarring without selecting the boundary.
V8_GDPPC_PESS_2050,real_gdp_per_capita,PESSIMISTIC,2050,30000.0,"EUR/person, 2020 chain-linked prices",27000.0,33500.0,LOW,Adverse interior placement reflects early/compound shocks and high scarring without selecting the boundary.
V8_MED_OPT_2030,real_median_living_standard,OPTIMISTIC,2030,26500.0,"EUR/person/year, constant prices",25800.0,27200.0,MEDIUM,"Favorable side of the approved range reflects late/mild shocks, stronger offsets and low scarring."
V8_MED_OPT_2040,real_median_living_standard,OPTIMISTIC,2040,25800.0,"EUR/person/year, constant prices",25500.0,27000.0,LOW,Revised in V8.07b to distribute gradual structural deterioration more progressively before the fixed 2050 endpoint.
V8_MED_OPT_2050,real_median_living_standard,OPTIMISTIC,2050,24700.0,"EUR/person/year, constant prices",24000.0,25900.0,LOW,"Revised below EUR25,200 after V8.06 joint review: 12% unemployment requires more visible distributional and purchasing-power scarring."
V8_MED_CEN_2030,real_median_living_standard,CENTRAL,2030,25800.0,"EUR/person/year, constant prices",25200.0,26700.0,MEDIUM,"Non-midpoint placement reflects partial reform, material shocks and medium persistent scarring."
V8_MED_CEN_2040,real_median_living_standard,CENTRAL,2040,25000.0,"EUR/person/year, constant prices",24500.0,26200.0,LOW,Revised in V8.08 after empirical cross-variable review: retains French social cushioning but avoids stronger long-run relative median protection in worse scenarios.
V8_MED_CEN_2050,real_median_living_standard,CENTRAL,2050,23300.0,"EUR/person/year, constant prices",22800.0,25000.0,LOW,Revised in V8.08 after empirical cross-variable review: retains French social cushioning but avoids stronger long-run relative median protection in worse scenarios.
V8_MED_PESS_2030,real_median_living_standard,PESSIMISTIC,2030,25000.0,"EUR/person/year, constant prices",24200.0,26000.0,MEDIUM,Adverse interior placement reflects early/compound shocks and high scarring without selecting the boundary.
V8_MED_PESS_2040,real_median_living_standard,PESSIMISTIC,2040,23100.0,"EUR/person/year, constant prices",22500.0,25000.0,LOW,Revised in V8.08 after empirical cross-variable review: retains French social cushioning but avoids stronger long-run relative median protection in worse scenarios.
V8_MED_PESS_2050,real_median_living_standard,PESSIMISTIC,2050,20800.0,"EUR/person/year, constant prices",20500.0,24000.0,LOW,Revised in V8.08 after empirical cross-variable review: retains French social cushioning but avoids stronger long-run relative median protection in worse scenarios.
