target_variable,year,value,unit,source_basis,classification,confidence,notes
unemployment_rate,2025,7.725,%,Eurostat une_rt_q / project canonical snapshot,OBSERVED,HIGH,Direct short-run forecast or age-20-64 structural projection; definitions are not identical across horizons.
unemployment_rate,2026,8.1,%,Banque de France June 2026,DIRECT_FORECAST,HIGH,Direct short-run forecast or age-20-64 structural projection; definitions are not identical across horizons.
unemployment_rate,2027,8.1,%,Banque de France June 2026,DIRECT_FORECAST,HIGH,Direct short-run forecast or age-20-64 structural projection; definitions are not identical across horizons.
unemployment_rate,2028,7.8,%,Banque de France June 2026,DIRECT_FORECAST,HIGH,Direct short-run forecast or age-20-64 structural projection; definitions are not identical across horizons.
unemployment_rate,2030,7.1,%,"European Commission 2024 Ageing Report, age 20-64",LONG_RUN_PROJECTION,MEDIUM,Direct short-run forecast or age-20-64 structural projection; definitions are not identical across horizons.
unemployment_rate,2040,6.7,%,"European Commission 2024 Ageing Report, age 20-64",LONG_RUN_PROJECTION,MEDIUM,Direct short-run forecast or age-20-64 structural projection; definitions are not identical across horizons.
unemployment_rate,2050,6.3,%,"European Commission 2024 Ageing Report, age 20-64",LONG_RUN_PROJECTION,MEDIUM,Direct short-run forecast or age-20-64 structural projection; definitions are not identical across horizons.
real_gdp_per_capita,2025,38360.0,"EUR/person, 2020 chain-linked prices",Eurostat nama_10_pc / project canonical snapshot,OBSERVED,HIGH,Historical 2025 actual.
real_median_living_standard,2025,25952.514017,"EUR/person/year, constant prices",INSEE-compatible project canonical snapshot,OBSERVED,HIGH,Historical 2025 actual.
real_gdp_per_capita_growth,2030,0.4,% annual,European Commission 2024 Ageing Report potential GDP per capita growth milestone,LONG_RUN_PROJECTION,MEDIUM,Growth milestone only; not converted into a level because the source does not establish a constant rate over the intervening interval.
real_gdp_per_capita_growth,2040,1.4,% annual,European Commission 2024 Ageing Report potential GDP per capita growth milestone,LONG_RUN_PROJECTION,MEDIUM,Growth milestone only; not converted into a level because the source does not establish a constant rate over the intervening interval.
real_gdp_per_capita_growth,2050,1.4,% annual,European Commission 2024 Ageing Report potential GDP per capita growth milestone,LONG_RUN_PROJECTION,MEDIUM,Growth milestone only; not converted into a level because the source does not establish a constant rate over the intervening interval.
