risk_or_force,optimistic,central,pessimistic,common_core
ageing/demographics,MILDLY NEGATIVE,NEGATIVE,STRONGLY NEGATIVE,Structural pressure remains in every scenario.
structural fiscal deficit,MILDLY NEGATIVE,NEGATIVE,STRONGLY NEGATIVE,Structural pressure remains in every scenario.
debt-interest pressure,MILDLY NEGATIVE,NEGATIVE,STRONGLY NEGATIVE,Structural pressure remains in every scenario.
taxation/spending constraints,FAVORABLE,MILDLY NEGATIVE,NEGATIVE,Structural pressure remains in every scenario.
under-investment,FAVORABLE,NEGATIVE,STRONGLY NEGATIVE,Structural pressure remains in every scenario.
capital weakness,MILDLY NEGATIVE,NEGATIVE,STRONGLY NEGATIVE,Structural pressure remains in every scenario.
productivity,FAVORABLE,MILDLY NEGATIVE,NEGATIVE,Structural pressure remains in every scenario.
competitiveness,FAVORABLE,NEGATIVE,STRONGLY NEGATIVE,Structural pressure remains in every scenario.
deindustrialisation,MILDLY NEGATIVE,NEGATIVE,STRONGLY NEGATIVE,Structural pressure remains in every scenario.
education/human capital,FAVORABLE,MILDLY NEGATIVE,NEGATIVE,Structural pressure remains in every scenario.
infrastructure,FAVORABLE,MILDLY NEGATIVE,NEGATIVE,Structural pressure remains in every scenario.
welfare/health burden,MILDLY NEGATIVE,NEGATIVE,STRONGLY NEGATIVE,Structural pressure remains in every scenario.
migration,FAVORABLE,MILDLY NEGATIVE,NEGATIVE,Structural pressure remains in every scenario.
chronic energy costs,FAVORABLE,NEGATIVE,STRONGLY NEGATIVE,Structural pressure remains in every scenario.
chronic climate damage,MILDLY NEGATIVE,NEGATIVE,STRONGLY NEGATIVE,Structural pressure remains in every scenario.
political reform constraints,FAVORABLE,NEGATIVE,STRONGLY NEGATIVE,Structural pressure remains in every scenario.
AI,FAVORABLE,MILDLY NEGATIVE,NEGATIVE,Structural pressure remains in every scenario.
non-AI technological progress,FAVORABLE,MILDLY NEGATIVE,NEGATIVE,Structural pressure remains in every scenario.
