risk_a,risk_b,interaction,mechanism
material sovereign stress,severe funding/refinancing crisis,++,"Common financing, demand, supply, confidence or policy channels."
material sovereign stress,oil/gas shock,++,"Common financing, demand, supply, confidence or policy channels."
material sovereign stress,trade fragmentation shock,++,"Common financing, demand, supply, confidence or policy channels."
severe funding/refinancing crisis,trade fragmentation shock,+,"Common financing, demand, supply, confidence or policy channels."
formal default/restructuring,material sovereign stress,++,"Common financing, demand, supply, confidence or policy channels."
formal default/restructuring,severe funding/refinancing crisis,++,"Common financing, demand, supply, confidence or policy channels."
formal default/restructuring,global recession,++,"Common financing, demand, supply, confidence or policy channels."
formal default/restructuring,oil/gas shock,++,"Common financing, demand, supply, confidence or policy channels."
formal default/restructuring,major geopolitical conflict,++,"Common financing, demand, supply, confidence or policy channels."
formal default/restructuring,trade fragmentation shock,++,"Common financing, demand, supply, confidence or policy channels."
formal default/restructuring,major climate/food-price shock,++,"Common financing, demand, supply, confidence or policy channels."
formal default/restructuring,housing/real-estate shock,++,"Common financing, demand, supply, confidence or policy channels."
banking/financial crisis,material sovereign stress,++,"Common financing, demand, supply, confidence or policy channels."
banking/financial crisis,severe funding/refinancing crisis,+,"Common financing, demand, supply, confidence or policy channels."
banking/financial crisis,formal default/restructuring,++,"Common financing, demand, supply, confidence or policy channels."
banking/financial crisis,euro-area sovereign crisis,+,"Common financing, demand, supply, confidence or policy channels."
banking/financial crisis,global recession,+,"Common financing, demand, supply, confidence or policy channels."
banking/financial crisis,credit crisis,++,"Common financing, demand, supply, confidence or policy channels."
banking/financial crisis,energy shock,+,"Common financing, demand, supply, confidence or policy channels."
banking/financial crisis,oil/gas shock,+,"Common financing, demand, supply, confidence or policy channels."
banking/financial crisis,major geopolitical conflict,+,"Common financing, demand, supply, confidence or policy channels."
banking/financial crisis,trade fragmentation shock,+,"Common financing, demand, supply, confidence or policy channels."
banking/financial crisis,major climate/food-price shock,+,"Common financing, demand, supply, confidence or policy channels."
banking/financial crisis,domestic political crisis,+,"Common financing, demand, supply, confidence or policy channels."
banking/financial crisis,housing/real-estate shock,+,"Common financing, demand, supply, confidence or policy channels."
banking/financial crisis,combinations of the above,+,"Common financing, demand, supply, confidence or policy channels."
euro-area sovereign crisis,material sovereign stress,++,"Common financing, demand, supply, confidence or policy channels."
euro-area sovereign crisis,severe funding/refinancing crisis,+,"Common financing, demand, supply, confidence or policy channels."
euro-area sovereign crisis,formal default/restructuring,++,"Common financing, demand, supply, confidence or policy channels."
euro-area sovereign crisis,global recession,+,"Common financing, demand, supply, confidence or policy channels."
euro-area sovereign crisis,oil/gas shock,+,"Common financing, demand, supply, confidence or policy channels."
euro-area sovereign crisis,major geopolitical conflict,+,"Common financing, demand, supply, confidence or policy channels."
euro-area sovereign crisis,trade fragmentation shock,+,"Common financing, demand, supply, confidence or policy channels."
euro-area sovereign crisis,major climate/food-price shock,+,"Common financing, demand, supply, confidence or policy channels."
euro-area sovereign crisis,housing/real-estate shock,+,"Common financing, demand, supply, confidence or policy channels."
global recession,material sovereign stress,++,"Common financing, demand, supply, confidence or policy channels."
global recession,severe funding/refinancing crisis,+,"Common financing, demand, supply, confidence or policy channels."
global recession,oil/gas shock,+,"Common financing, demand, supply, confidence or policy channels."
global recession,major geopolitical conflict,+,"Common financing, demand, supply, confidence or policy channels."
global recession,trade fragmentation shock,+,"Common financing, demand, supply, confidence or policy channels."
global recession,major climate/food-price shock,+,"Common financing, demand, supply, confidence or policy channels."
global recession,housing/real-estate shock,+,"Common financing, demand, supply, confidence or policy channels."
asset-price crash,material sovereign stress,++,"Common financing, demand, supply, confidence or policy channels."
asset-price crash,severe funding/refinancing crisis,+,"Common financing, demand, supply, confidence or policy channels."
asset-price crash,formal default/restructuring,++,"Common financing, demand, supply, confidence or policy channels."
asset-price crash,banking/financial crisis,+,"Common financing, demand, supply, confidence or policy channels."
asset-price crash,euro-area sovereign crisis,+,"Common financing, demand, supply, confidence or policy channels."
asset-price crash,global recession,+,"Common financing, demand, supply, confidence or policy channels."
asset-price crash,credit crisis,+,"Common financing, demand, supply, confidence or policy channels."
asset-price crash,energy shock,+,"Common financing, demand, supply, confidence or policy channels."
asset-price crash,oil/gas shock,+,"Common financing, demand, supply, confidence or policy channels."
asset-price crash,major geopolitical conflict,+,"Common financing, demand, supply, confidence or policy channels."
asset-price crash,trade fragmentation shock,+,"Common financing, demand, supply, confidence or policy channels."
asset-price crash,major climate/food-price shock,+,"Common financing, demand, supply, confidence or policy channels."
asset-price crash,domestic political crisis,+,"Common financing, demand, supply, confidence or policy channels."
asset-price crash,housing/real-estate shock,+,"Common financing, demand, supply, confidence or policy channels."
asset-price crash,combinations of the above,+,"Common financing, demand, supply, confidence or policy channels."
credit crisis,material sovereign stress,++,"Common financing, demand, supply, confidence or policy channels."
credit crisis,severe funding/refinancing crisis,+,"Common financing, demand, supply, confidence or policy channels."
credit crisis,formal default/restructuring,++,"Common financing, demand, supply, confidence or policy channels."
credit crisis,euro-area sovereign crisis,+,"Common financing, demand, supply, confidence or policy channels."
credit crisis,global recession,+,"Common financing, demand, supply, confidence or policy channels."
credit crisis,energy shock,+,"Common financing, demand, supply, confidence or policy channels."
credit crisis,oil/gas shock,+,"Common financing, demand, supply, confidence or policy channels."
credit crisis,major geopolitical conflict,+,"Common financing, demand, supply, confidence or policy channels."
credit crisis,trade fragmentation shock,+,"Common financing, demand, supply, confidence or policy channels."
credit crisis,major climate/food-price shock,+,"Common financing, demand, supply, confidence or policy channels."
credit crisis,domestic political crisis,+,"Common financing, demand, supply, confidence or policy channels."
credit crisis,housing/real-estate shock,+,"Common financing, demand, supply, confidence or policy channels."
energy shock,material sovereign stress,++,"Common financing, demand, supply, confidence or policy channels."
energy shock,severe funding/refinancing crisis,+,"Common financing, demand, supply, confidence or policy channels."
energy shock,formal default/restructuring,++,"Common financing, demand, supply, confidence or policy channels."
energy shock,euro-area sovereign crisis,+,"Common financing, demand, supply, confidence or policy channels."
energy shock,global recession,+,"Common financing, demand, supply, confidence or policy channels."
energy shock,oil/gas shock,++,"Common financing, demand, supply, confidence or policy channels."
energy shock,major geopolitical conflict,+,"Common financing, demand, supply, confidence or policy channels."
energy shock,trade fragmentation shock,+,"Common financing, demand, supply, confidence or policy channels."
energy shock,major climate/food-price shock,+,"Common financing, demand, supply, confidence or policy channels."
energy shock,housing/real-estate shock,+,"Common financing, demand, supply, confidence or policy channels."
oil/gas shock,severe funding/refinancing crisis,+,"Common financing, demand, supply, confidence or policy channels."
oil/gas shock,trade fragmentation shock,+,"Common financing, demand, supply, confidence or policy channels."
major geopolitical conflict,material sovereign stress,++,"Common financing, demand, supply, confidence or policy channels."
