risk,unemployment_severity,gdp_per_capita_severity,median_living_severity,typical_duration,recovery,scarring,scarring_channels,confidence
material sovereign stress,medium-high,medium-high,medium,1-3 years,partial recovery over 2-7 years,PARTLY PERSISTENT,hysteresis; foregone investment; debt accumulation; productivity loss; business failures,medium-low
severe funding/refinancing crisis,medium-high,medium-high,medium,1-3 years,partial recovery over 2-7 years,PARTLY PERSISTENT,hysteresis; foregone investment; debt accumulation; productivity loss; business failures,medium-low
formal default/restructuring,medium-high,medium-high,medium,1-3 years,partial recovery over 2-7 years,PARTLY PERSISTENT,hysteresis; foregone investment; debt accumulation; productivity loss; business failures,medium-low
banking/financial crisis,medium-high,medium-high,medium,1-3 years,partial recovery over 2-7 years,PARTLY PERSISTENT,hysteresis; foregone investment; debt accumulation; productivity loss; business failures,medium-low
euro-area sovereign crisis,medium-high,medium-high,medium,1-3 years,partial recovery over 2-7 years,PARTLY PERSISTENT,hysteresis; foregone investment; debt accumulation; productivity loss; business failures,medium-low
global recession,medium-high,medium-high,medium,1-3 years,partial recovery over 2-7 years,PARTLY PERSISTENT,hysteresis; foregone investment; debt accumulation; productivity loss; business failures,medium-low
asset-price crash,medium-high,medium-high,medium,1-3 years,partial recovery over 2-7 years,PARTLY PERSISTENT,hysteresis; foregone investment; debt accumulation; productivity loss; business failures,medium-low
credit crisis,medium-high,medium-high,medium,1-3 years,partial recovery over 2-7 years,PARTLY PERSISTENT,hysteresis; foregone investment; debt accumulation; productivity loss; business failures,medium-low
energy shock,medium-high,medium-high,medium,1-3 years,partial recovery over 2-7 years,PARTLY PERSISTENT,hysteresis; foregone investment; debt accumulation; productivity loss; business failures,medium-low
oil/gas shock,medium-high,medium-high,medium,1-3 years,partial recovery over 2-7 years,PARTLY PERSISTENT,hysteresis; foregone investment; debt accumulation; productivity loss; business failures,medium-low
major geopolitical conflict,medium-high,medium-high,medium,1-3 years,partial recovery over 2-7 years,PARTLY PERSISTENT,hysteresis; foregone investment; debt accumulation; productivity loss; business failures,medium-low
trade fragmentation shock,medium-high,medium-high,medium,1-3 years,partial recovery over 2-7 years,PARTLY PERSISTENT,hysteresis; foregone investment; debt accumulation; productivity loss; business failures,medium-low
major climate/food-price shock,medium-high,medium-high,medium,1-3 years,partial recovery over 2-7 years,PARTLY PERSISTENT,hysteresis; foregone investment; debt accumulation; productivity loss; business failures,medium-low
domestic political crisis,medium-high,medium-high,medium,1-3 years,partial recovery over 2-7 years,PARTLY PERSISTENT,hysteresis; foregone investment; debt accumulation; productivity loss; business failures,medium-low
housing/real-estate shock,medium-high,medium-high,medium,1-3 years,partial recovery over 2-7 years,PARTLY PERSISTENT,hysteresis; foregone investment; debt accumulation; productivity loss; business failures,medium-low
combinations of the above,medium-high,medium-high,medium,1-3 years,partial recovery over 2-7 years,PARTLY PERSISTENT,hysteresis; foregone investment; debt accumulation; productivity loss; business failures,medium-low
