risk,definition,horizon,probability_low,probability_central,probability_high,confidence,evidence_grade,source_basis,judgment_flag
French sovereign/debt crisis,"France spread blowout, rating shock or ECB/EU support without default",2y,0.01,0.02,0.03,medium,D,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
French sovereign/debt crisis,"France spread blowout, rating shock or ECB/EU support without default",5y,0.04,0.06,0.08,medium,D,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
French sovereign/debt crisis,"France spread blowout, rating shock or ECB/EU support without default",10y,0.1,0.125,0.15,medium,D,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
French sovereign/debt crisis,"France spread blowout, rating shock or ECB/EU support without default",25y,0.25,0.3,0.35,medium,D,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
severe funding/refinancing crisis,"Inability to refinance normally, requiring exceptional official or market stabilization",2y,0.005,0.007,0.01,low,D,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
severe funding/refinancing crisis,"Inability to refinance normally, requiring exceptional official or market stabilization",5y,0.02,0.025,0.03,low,D,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
severe funding/refinancing crisis,"Inability to refinance normally, requiring exceptional official or market stabilization",10y,0.05,0.06,0.07,low,D,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
severe funding/refinancing crisis,"Inability to refinance normally, requiring exceptional official or market stabilization",25y,0.12,0.15,0.18,low,D,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
formal default/restructuring,Missed payment or coercive restructuring of French sovereign obligations,2y,0.0005,0.001,0.001,low,D,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
formal default/restructuring,Missed payment or coercive restructuring of French sovereign obligations,5y,0.002,0.003,0.003,low,D,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
formal default/restructuring,Missed payment or coercive restructuring of French sovereign obligations,10y,0.008,0.009,0.01,low,D,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
formal default/restructuring,Missed payment or coercive restructuring of French sovereign obligations,25y,0.03,0.035,0.04,low,D,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
banking/financial crisis,Systemic bank or financial-intermediary distress with material credit contraction,2y,0.02,0.03,0.04,medium,B,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
banking/financial crisis,Systemic bank or financial-intermediary distress with material credit contraction,5y,0.06,0.08,0.1,medium,B,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
banking/financial crisis,Systemic bank or financial-intermediary distress with material credit contraction,10y,0.14,0.165,0.19,medium,B,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
banking/financial crisis,Systemic bank or financial-intermediary distress with material credit contraction,25y,0.3,0.35,0.4,medium,B,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
euro-area sovereign crisis,Multi-country sovereign stress causing French funding or demand spillovers,2y,0.02,0.03,0.04,medium,C,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
euro-area sovereign crisis,Multi-country sovereign stress causing French funding or demand spillovers,5y,0.08,0.1,0.12,medium,C,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
euro-area sovereign crisis,Multi-country sovereign stress causing French funding or demand spillovers,10y,0.18,0.205,0.23,medium,C,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
euro-area sovereign crisis,Multi-country sovereign stress causing French funding or demand spillovers,25y,0.36,0.405,0.45,medium,C,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
global recession,"Global recession under a broad macro definition, not an ordinary slowdown",2y,0.08,0.1,0.12,medium,B,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
global recession,"Global recession under a broad macro definition, not an ordinary slowdown",5y,0.2,0.225,0.25,medium,B,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
global recession,"Global recession under a broad macro definition, not an ordinary slowdown",10y,0.38,0.415,0.45,medium,B,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
global recession,"Global recession under a broad macro definition, not an ordinary slowdown",25y,0.7,0.75,0.8,medium,B,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
asset-price crash,Equity or property repricing large enough to impair demand or financial balance sheets,2y,0.04,0.06,0.08,medium,B,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
asset-price crash,Equity or property repricing large enough to impair demand or financial balance sheets,5y,0.12,0.16,0.2,medium,B,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
asset-price crash,Equity or property repricing large enough to impair demand or financial balance sheets,10y,0.28,0.33,0.38,medium,B,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
asset-price crash,Equity or property repricing large enough to impair demand or financial balance sheets,25y,0.58,0.64,0.7,medium,B,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
credit crisis,Abrupt tightening or rationing of credit outside a full banking crisis,2y,0.03,0.045,0.06,medium,B,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
credit crisis,Abrupt tightening or rationing of credit outside a full banking crisis,5y,0.1,0.13,0.16,medium,B,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
credit crisis,Abrupt tightening or rationing of credit outside a full banking crisis,10y,0.23,0.265,0.3,medium,B,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
credit crisis,Abrupt tightening or rationing of credit outside a full banking crisis,25y,0.48,0.54,0.6,medium,B,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
energy shock,Large European energy supply or price shock affecting France,2y,0.05,0.075,0.1,medium,B,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
energy shock,Large European energy supply or price shock affecting France,5y,0.18,0.215,0.25,medium,B,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
energy shock,Large European energy supply or price shock affecting France,10y,0.35,0.4,0.45,medium,B,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
energy shock,Large European energy supply or price shock affecting France,25y,0.65,0.7,0.75,medium,B,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
oil/gas shock,Oil or gas disruption producing a material French price and supply shock,2y,0.04,0.06,0.08,medium,B,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
oil/gas shock,Oil or gas disruption producing a material French price and supply shock,5y,0.14,0.17,0.2,medium,B,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
oil/gas shock,Oil or gas disruption producing a material French price and supply shock,10y,0.3,0.34,0.38,medium,B,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
oil/gas shock,Oil or gas disruption producing a material French price and supply shock,25y,0.6,0.65,0.7,medium,B,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
major geopolitical conflict,"Conflict escalation, sanctions or security shock materially affecting France",2y,0.04,0.06,0.08,low,C,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
major geopolitical conflict,"Conflict escalation, sanctions or security shock materially affecting France",5y,0.15,0.175,0.2,low,C,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
major geopolitical conflict,"Conflict escalation, sanctions or security shock materially affecting France",10y,0.32,0.35,0.38,low,C,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
major geopolitical conflict,"Conflict escalation, sanctions or security shock materially affecting France",25y,0.62,0.66,0.7,low,C,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
trade fragmentation shock,Abrupt protectionism or supply-chain fragmentation reducing external demand,2y,0.05,0.075,0.1,medium,B,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
trade fragmentation shock,Abrupt protectionism or supply-chain fragmentation reducing external demand,5y,0.18,0.215,0.25,medium,B,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
trade fragmentation shock,Abrupt protectionism or supply-chain fragmentation reducing external demand,10y,0.38,0.43,0.48,medium,B,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
trade fragmentation shock,Abrupt protectionism or supply-chain fragmentation reducing external demand,25y,0.68,0.73,0.78,medium,B,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
major climate/food-price shock,Acute climate or agricultural event causing material food/output shock,2y,0.03,0.055,0.08,medium,B,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
major climate/food-price shock,Acute climate or agricultural event causing material food/output shock,5y,0.14,0.18,0.22,medium,B,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
major climate/food-price shock,Acute climate or agricultural event causing material food/output shock,10y,0.32,0.385,0.45,medium,B,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
