institution,document,publication_date,risk_relevance,quality_grade,source_url
ACPR/EBA/ECB,2025 stress tests,2025,banking/financial crisis,A,https://acpr.banque-france.fr/en/press-release/results-2025-stress-tests-led-eba-and-ecb
IMF,France Financial System Stability Assessment,2025-07,banking/financial crisis,A,https://www.imf.org/en/publications/cr/issues/2025/07/11/france-financial-system-stability-assessment-568525
ECB,Financial Stability Review,2025-11,banking/financial crisis; asset-price crash,A,https://www.ecb.europa.eu/press/financial-stability-publications/fsr/pdf/ecb.fsr202511~263b5810d4.en.pdf
IMF,World Economic Outlook,2025-10,global recession; trade fragmentation,A,https://www.imf.org/en/publications/weo/issues/2025/10/14/world-economic-outlook-october-2025
World Bank,Global Economic Prospects,2025-06,global recession,A,https://www.worldbank.org/en/news/press-release/2025/06/10/global-economic-prospects-june-2025-press-release
European Commission,2024 Ageing Report France fiche,2024-05,ageing; fiscal; long-run structural risk,A,https://economy-finance.ec.europa.eu/document/download/e412927a-ea31-406d-bb6c-c925914123e9_en?filename=2024-ageing-report-country-fiche-France.pdf
European Commission,Autumn 2025 France forecast,2025-11,fiscal; energy; trade; unemployment,A,https://economy-finance.ec.europa.eu/economic-surveillance-eu-member-states/country-pages-including-country-reports/france/economic-forecast-france_en
Banque de France,Macroeconomic projections June 2026,2026-06,energy; unemployment; growth,A,https://www.banque-france.fr/system/files/2026-06/Macroeconomic_projections_June_2026.pdf
IPCC,AR6 Synthesis Report,2023-03,chronic climate damage,A,https://www.ipcc.ch/report/ar6/syr/
IEA,World Energy Outlook,2025,energy shock,A,https://www.iea.org/reports/world-energy-outlook-2025
EEA,European climate risk assessment,2024-03,climate/food-price risk,A,https://www.eea.europa.eu/publications/european-climate-risk-assessment
OECD,Economic Outlook Interim Report,2025-09,global recession; trade fragmentation,A,https://www.oecd.org/en/publications/oecd-economic-outlook-interim-report-september-2025_67b10c01-en/full-report.html
