risk,event_type,qualifying_definition,observable_criteria,primary_transmission,formal_default_distinguished
material sovereign stress,sovereign,"France spread blowout, rating shock or ECB/EU support without default","Material effect on French output, unemployment, credit, sovereign financing, prices or real household income; ordinary volatility excluded.","Unemployment via labor demand; GDP per capita via output/productivity; median living via real income, prices and transfers.",not applicable
severe funding/refinancing crisis,sovereign,"Inability to refinance normally, requiring exceptional official or market stabilization","Material effect on French output, unemployment, credit, sovereign financing, prices or real household income; ordinary volatility excluded.","Unemployment via labor demand; GDP per capita via output/productivity; median living via real income, prices and transfers.",not applicable
formal default/restructuring,sovereign,Missed payment or coercive restructuring of French sovereign obligations,"Material effect on French output, unemployment, credit, sovereign financing, prices or real household income; ordinary volatility excluded.","Unemployment via labor demand; GDP per capita via output/productivity; median living via real income, prices and transfers.",yes
banking/financial crisis,event/crisis,Systemic bank or financial-intermediary distress with material credit contraction,"Material effect on French output, unemployment, credit, sovereign financing, prices or real household income; ordinary volatility excluded.","Unemployment via labor demand; GDP per capita via output/productivity; median living via real income, prices and transfers.",not applicable
euro-area sovereign crisis,sovereign,Multi-country sovereign stress causing French funding or demand spillovers,"Material effect on French output, unemployment, credit, sovereign financing, prices or real household income; ordinary volatility excluded.","Unemployment via labor demand; GDP per capita via output/productivity; median living via real income, prices and transfers.",not applicable
global recession,event/crisis,"Global recession under a broad macro definition, not an ordinary slowdown","Material effect on French output, unemployment, credit, sovereign financing, prices or real household income; ordinary volatility excluded.","Unemployment via labor demand; GDP per capita via output/productivity; median living via real income, prices and transfers.",not applicable
asset-price crash,event/crisis,Equity or property repricing large enough to impair demand or financial balance sheets,"Material effect on French output, unemployment, credit, sovereign financing, prices or real household income; ordinary volatility excluded.","Unemployment via labor demand; GDP per capita via output/productivity; median living via real income, prices and transfers.",not applicable
credit crisis,event/crisis,Abrupt tightening or rationing of credit outside a full banking crisis,"Material effect on French output, unemployment, credit, sovereign financing, prices or real household income; ordinary volatility excluded.","Unemployment via labor demand; GDP per capita via output/productivity; median living via real income, prices and transfers.",not applicable
energy shock,event/crisis,Large European energy supply or price shock affecting France,"Material effect on French output, unemployment, credit, sovereign financing, prices or real household income; ordinary volatility excluded.","Unemployment via labor demand; GDP per capita via output/productivity; median living via real income, prices and transfers.",not applicable
oil/gas shock,event/crisis,Oil or gas disruption producing a material French price and supply shock,"Material effect on French output, unemployment, credit, sovereign financing, prices or real household income; ordinary volatility excluded.","Unemployment via labor demand; GDP per capita via output/productivity; median living via real income, prices and transfers.",not applicable
major geopolitical conflict,event/crisis,"Conflict escalation, sanctions or security shock materially affecting France","Material effect on French output, unemployment, credit, sovereign financing, prices or real household income; ordinary volatility excluded.","Unemployment via labor demand; GDP per capita via output/productivity; median living via real income, prices and transfers.",not applicable
trade fragmentation shock,event/crisis,Abrupt protectionism or supply-chain fragmentation reducing external demand,"Material effect on French output, unemployment, credit, sovereign financing, prices or real household income; ordinary volatility excluded.","Unemployment via labor demand; GDP per capita via output/productivity; median living via real income, prices and transfers.",not applicable
major climate/food-price shock,event/crisis,Acute climate or agricultural event causing material food/output shock,"Material effect on French output, unemployment, credit, sovereign financing, prices or real household income; ordinary volatility excluded.","Unemployment via labor demand; GDP per capita via output/productivity; median living via real income, prices and transfers.",not applicable
domestic political crisis,event/crisis,Government/parliamentary crisis that materially disrupts policy or confidence,"Material effect on French output, unemployment, credit, sovereign financing, prices or real household income; ordinary volatility excluded.","Unemployment via labor demand; GDP per capita via output/productivity; median living via real income, prices and transfers.",not applicable
housing/real-estate shock,event/crisis,Large residential or commercial property correction with macro credit effects,"Material effect on French output, unemployment, credit, sovereign financing, prices or real household income; ordinary volatility excluded.","Unemployment via labor demand; GDP per capita via output/productivity; median living via real income, prices and transfers.",not applicable
combinations of the above,event/crisis,Two or more qualifying shocks interact within a recovery period,"Material effect on French output, unemployment, credit, sovereign financing, prices or real household income; ordinary volatility excluded.","Unemployment via labor demand; GDP per capita via output/productivity; median living via real income, prices and transfers.",not applicable
