risk_name,risk_class,mechanism,primary_transmission_to_targets,persistent_scarring,evidence_needed_for_v802
ageing/demography,ageing,Shrinking working-age population raises dependency burden and reduces labor input.,employment and GDP per capita; median living through transfers and household composition,yes,"Historical base rates, official stress scenarios, severity/duration distributions, recovery evidence, and interaction research."
fiscal deficits,fiscal,Persistent deficits increase financing needs and constrain future policy space.,"GDP per capita and median living through taxes, spending and demand",yes,"Historical base rates, official stress scenarios, severity/duration distributions, recovery evidence, and interaction research."
debt/interest feedback,fiscal,Higher debt and rates raise interest burden and refinancing sensitivity.,all three through fiscal adjustment and demand,yes,"Historical base rates, official stress scenarios, severity/duration distributions, recovery evidence, and interaction research."
taxation/spending constraints,institutional,Political limits on tax rises or spending cuts delay consolidation.,median living and employment through public services and labor costs,yes,"Historical base rates, official stress scenarios, severity/duration distributions, recovery evidence, and interaction research."
under-investment,structural,Weak investment lowers future productive capacity.,GDP per capita and median living,yes,"Historical base rates, official stress scenarios, severity/duration distributions, recovery evidence, and interaction research."
capital weakness,structural,Low capital deepening reduces output per worker.,GDP per capita and employment,yes,"Historical base rates, official stress scenarios, severity/duration distributions, recovery evidence, and interaction research."
productivity,structural,Slower multifactor or labor productivity limits real income growth.,GDP per capita and median living,yes,"Historical base rates, official stress scenarios, severity/duration distributions, recovery evidence, and interaction research."
competitiveness,external,Cost and productivity disadvantages reduce export and investment demand.,GDP per capita and employment,yes,"Historical base rates, official stress scenarios, severity/duration distributions, recovery evidence, and interaction research."
deindustrialisation,structural,Loss of tradable capacity weakens high-productivity employment.,employment and GDP per capita,yes,"Historical base rates, official stress scenarios, severity/duration distributions, recovery evidence, and interaction research."
education/human capital,structural,Skill mismatch limits productivity and labor reallocation.,employment and GDP per capita,yes,"Historical base rates, official stress scenarios, severity/duration distributions, recovery evidence, and interaction research."
infrastructure,structural,Infrastructure bottlenecks reduce productivity and resilience.,GDP per capita,yes,"Historical base rates, official stress scenarios, severity/duration distributions, recovery evidence, and interaction research."
welfare/health burden,structural,Rising health and welfare needs compete with productive spending.,median living and employment,yes,"Historical base rates, official stress scenarios, severity/duration distributions, recovery evidence, and interaction research."
migration,demography,"Migration changes labor supply, population and fiscal balances.",employment and GDP per capita,yes,"Historical base rates, official stress scenarios, severity/duration distributions, recovery evidence, and interaction research."
political/institutional constraints,institutional,Policy uncertainty delays investment and adjustment.,all three,yes,"Historical base rates, official stress scenarios, severity/duration distributions, recovery evidence, and interaction research."
